Timestamp,Price,Size
2024-09-20 18:04:05.986,427.6822393660816,100
2024-09-20 18:04:07.573,427.7441911662564,96
2024-09-20 18:04:18.805,427.5679953339338,97
2024-09-20 18:04:23.954,427.5139518474462,1002
2024-09-20 18:04:27.663,427.4659773018048,95
2024-09-20 18:04:36.757,427.2386298946352,97
2024-09-20 18:04:40.769,427.1956678972492,11
2024-09-20 18:04:42.850,427.3203142555777,995
2024-09-20 18:04:42.875,427.3276409551601,1002
2024-09-20 18:04:51.413,427.3958752143977,998
2024-09-20 18:04:55.140,427.5081243418225,101
