ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-28T00:00:00.000000000Z,35,40,10451,201.160000000,201.160000000,198.060000000,200.710000000,22344,META
2023-03-28T00:00:00.000000000Z,35,41,10451,201.840000000,202.050000000,197.940000000,200.650000000,419760,META
2023-03-28T00:00:00.000000000Z,35,42,10451,200.130000000,200.840000000,198.040000000,200.720000000,47989,META
2023-03-28T00:00:00.000000000Z,35,39,11667,264.710000000,264.850000000,258.550000000,264.110000000,542866,NVDA
2023-03-28T00:00:00.000000000Z,35,41,11667,265.040000000,265.170000000,258.500000000,264.120000000,527296,NVDA
2023-03-28T00:00:00.000000000Z,35,42,11667,264.910000000,264.910000000,258.730000000,264.030000000,102755,NVDA
2023-03-28T00:00:00.000000000Z,35,39,853,98.010000000,98.400000000,96.330000000,97.240000000,398736,AMZN
2023-03-28T00:00:00.000000000Z,35,39,38,157.930000000,158.080000000,156.000000000,157.680000000,228535,AAPL
2023-03-28T00:00:00.000000000Z,35,39,10451,200.080000000,200.910000000,198.050000000,200.700000000,85022,META
2023-03-28T00:00:00.000000000Z,35,40,7152,101.650000000,102.260000000,99.760000000,100.960000000,41519,GOOGL
2023-03-28T00:00:00.000000000Z,35,40,853,98.040000000,98.300000000,96.310000000,97.250000000,22217,AMZN
2023-03-28T00:00:00.000000000Z,35,41,853,98.130000000,98.430000000,96.305000000,97.270000000,597654,AMZN
2023-03-28T00:00:00.000000000Z,35,42,853,97.950000000,98.400000000,96.310000000,97.260000000,408030,AMZN
2023-03-28T00:00:00.000000000Z,35,41,38,157.700000000,158.110000000,155.990000000,157.690000000,586298,AAPL
2023-03-28T00:00:00.000000000Z,35,42,38,158.060000000,158.060000000,155.980000000,157.720000000,304543,AAPL
2023-03-28T00:00:00.000000000Z,35,40,11667,265.170000000,265.530000000,258.660000000,264.480000000,23253,NVDA
2023-03-28T00:00:00.000000000Z,35,41,7152,101.910000000,102.390000000,99.745000000,101.000000000,887991,GOOGL
2023-03-28T00:00:00.000000000Z,35,40,38,158.350000000,158.490000000,156.010000000,157.630000000,12901,AAPL
2023-03-28T00:00:00.000000000Z,35,39,7152,102.280000000,102.310000000,99.760000000,100.990000000,432587,GOOGL
2023-03-28T00:00:00.000000000Z,35,42,7152,102.270000000,102.270000000,99.750000000,100.970000000,432704,GOOGL
